id	loan_count	household_income	most_popular
81507	10	79550	Offices of Physical, Occupational and Speech Therapists, and Audiologists 
80026	95	79595	Full-Service Restaurants 
80543	7	80011	Dairy Cattle and Milk Production
81632	40	81851	Full-Service Restaurants 
80640	59	82056	Specialized Freight (except Used Goods) Trucking, Long-Distance 
81637	17	82222	Plumbing, Heating, and Air-Conditioning Contractors 
80136	4	82331	Water Supply and Irrigation Systems 
80301	334	82522	Full-Service Restaurants 
80019	2	82808	(blank)
80922	17	83034	Offices of Dentists 
80603	23	85234	All Other Specialty Trade Contractors
80513	30	85399	Plumbing, Heating, and Air-Conditioning Contractors 
80202	443	85697	Offices of Lawyers
80951	1	85703	Nail Salons 
80401	180	85833	Engineering Services
80210	101	86970	Religious Organizations 
81623	57	86978	Engineering Services
80643	13	87078	Other Building Material Dealers 
80549	15	87246	Full-Service Restaurants 
80209	87	87333	Offices of Lawyers
80827	1	87375	Environment, Conservation and Wildlife Organizations 
80241	30	87418	Plumbing, Heating, and Air-Conditioning Contractors 
80020	101	87786	Home Health Care Services
81647	4	88017	Wine and Distilled Alcoholic Beverage Merchant Wholesalers 
80923	27	88121	Offices of Physicians (except Mental Health Specialists) 
80435	23	88194	Full-Service Restaurants 
80424	47	88243	Full-Service Restaurants 
80128	25	88511	Engineering Services
81645	4	88542	Plumbing, Heating, and Air-Conditioning Contractors 
80447	2	89212	Plumbing, Heating, and Air-Conditioning Contractors 
80230	26	89594	Offices of Physicians (except Mental Health Specialists) 
80304	59	89846	Offices of Physicians (except Mental Health Specialists) 
80117	3	90313	Farm and Garden Machinery and Equipment Merchant Wholesalers 
81523	1	90336	Lessors of Residential Buildings and Dwellings 
80305	23	90610	Advertising Agencies
80831	17	90992	Elementary and Secondary Schools 
80504	101	91095	Commercial and Institutional Building Construction 
80112	507	91687	Engineering Services
80503	45	92176	Nursing Care Facilities (Skilled Nursing Facilities) 
80534	30	92284	Poured Concrete Foundation and Structure Contractors 
80919	70	92635	Hotels (except Casino Hotels) and Motels 
80137	3	92772	All Other Miscellaneous Manufacturing 
80920	90	92983	Offices of Physicians (except Mental Health Specialists) 
80550	85	94227	Full-Service Restaurants 
80542	10	94863	Poured Concrete Foundation and Structure Contractors 
80121	23	95484	New Car Dealers 
80135	17	95801	Poured Concrete Foundation and Structure Contractors 
80540	8	96818	(blank)
80107	9	97214	Electrical Contractors and Other Wiring Installation Contractors
80104	46	97336	Full-Service Restaurants 
80015	19	100229	Child Day Care Services 
80122	57	101070	Offices of Dentists 
80465	15	101094	Full-Service Restaurants 
80528	38	101104	Offices of Physicians (except Mental Health Specialists) 
80005	21	101313	Full-Service Restaurants 
80470	3	101667	Hardware Stores 
80433	12	103173	Custom Computer Programming Services 
80018	6	103968	Other Commercial Equipment Merchant Wholesalers 
80106	1	105595	Electrical Contractors and Other Wiring Installation Contractors
80454	2	105972	Landscaping Services
80116	10	106042	Supermarkets and Other Grocery (except Convenience) Stores 
80547	11	106250	Full-Service Restaurants 
80111	338	106766	Offices of Lawyers
80124	63	107244	Offices of Physicians (except Mental Health Specialists) 
80439	31	107262	Full-Service Restaurants 
80127	103	108190	Engineering Services
80908	25	108463	Full-Service Restaurants 
80027	133	109718	Full-Service Restaurants 
81631	36	109946	Framing Contractors 
80403	63	110417	Engineering Services
80129	66	111636	New Car Dealers 
80134	107	112370	Religious Organizations 
80602	17	113405	Residential Property Managers 
80516	51	116632	Plumbing, Heating, and Air-Conditioning Contractors 
80016	54	117068	Full-Service Restaurants 
80130	4	121165	Site Preparation Contractors
80023	31	121907	Offices of Physicians (except Mental Health Specialists) 
80921	45	122294	Religious Organizations 
80126	42	122851	Religious Organizations 
80138	49	122983	Offices of Physicians (except Mental Health Specialists) 
80109	46	123798	Full-Service Restaurants 
80132	34	126270	Engineering Services
80125	62	127588	Landscaping Services
80118	10	128548	Religious Organizations 
80924	6	133983	Offices of Physicians (except Mental Health Specialists) 
80108	41	136937	Child Day Care Services 
80238	38	138580	Full-Service Restaurants 
80007	18	140610	Landscaping Services
81658	14	#N/A	Commercial and Institutional Building Construction 
81602	12	#N/A	Poured Concrete Foundation and Structure Contractors 
81302	7	#N/A	All Other Outpatient Care Centers 
80502	5	#N/A	New Multifamily Housing Construction (except For-Sale Builders) 
80632	5	#N/A	Landscaping Services
80633	5	#N/A	Continuing Care Retirement Communities 
81402	5	#N/A	Grantmaking Foundations 
81502	5	#N/A	Limited-Service Restaurants 
80265	4	#N/A	(blank)
80038	3	#N/A	Plumbing, Heating, and Air-Conditioning Contractors 
80308	3	#N/A	Asphalt Paving Mixture and Block Manufacturing 
80962	3	#N/A	All Other Miscellaneous Chemical Product and Preparation Manufacturing 
80155	2	#N/A	New Single-Family Housing Construction (except For-Sale Builders) 
80161	2	#N/A	Religious Organizations 
80163	2	#N/A	Other Management Consulting Services 
80201	2	#N/A	Museums 
80522	2	#N/A	Food Service Contractors
80539	2	#N/A	Residential Property Managers 
80646	2	#N/A	Postharvest Crop Activities (except Cotton Ginning) 
80866	2	#N/A	Investigation Services 
81002	2	#N/A	Limited-Service Restaurants 
80001	1	#N/A	All Other Business Support Services 
80034	1	#N/A	Assisted Living Facilities for the Elderly 
80037	1	#N/A	Industrial Building Construction 
80044	1	#N/A	Other Individual and Family Services 
80046	1	#N/A	Advertising Agencies
80047	1	#N/A	Highway, Street, and Bridge Construction 
80151	1	#N/A	Civic and Social Organizations 
80208	1	#N/A	Grantmaking Foundations 
80217	1	#N/A	Process, Physical Distribution, and Logistics Consulting Services 
80225	1	#N/A	Investment Advice 
80254	1	#N/A	Janitorial Services 
80266	1	#N/A	Special Needs Transportation 
